Bigram,Frequency
"('prior', 'toher')",2
"('returning', 'home')",2
"('killing', 'family')",2
"('kidnapped', 'victim')",2
"('strangulation', 'blunt')",2
"('found', 'along')",2
"('county', 'road')",2
"('drowning', 'death')",2
"('police', 'bexar')",2
"('course', 'robbery')",2
"('demanding', 'money')",2
"('codefendant', 'drove')",2
"('birthday', 'party')",2
"('subject', 'subject')",2
"('side', 'car')",2
"('car', 'grabbed')",2
"('went', 'inside')",2
"('resulted', 'death')",2
"('adult', 'black')",2
"('lubbock', 'county')",2
"('striking', 'victim')",2
"('hard', 'object')",2
"('subject', 'arrested')",2
"('department', 'may')",2
"('killed', 'two')",2
"('two', 'daughters')",2
"('daughters', 'ages')",2
"('nearby', 'creek')",2
"('female', 'strangled')",2
"('entered', 'victims')",2
"('correctional', 'officer')",2
"('mcconnell', 'unit')",2
"('stabbed', 'adult')",2
"('apartment', 'convicted')",2
"('thehead', 'caliber')",2
"('murderforhire', 'yearold')",2
"('police', 'july')",2
"('restaurant', 'fatally')",2
"('shot', 'adult')",2
"('male', 'adult')",2
"('adult', 'female')",2
"('took', 'money')",2
"('register', 'fled')",2
"('moving', 'vehicle')",2
"('vehicle', 'subject')",2
"('arrested', 'fort')",2
"('worth', 'police')",2
"('struck', 'victim')",2
"('behind', 'residence')",2
"('bedroom', 'found')",2
"('residence', 'fatally')",2
"('another', 'female')",2
"('survived', 'shooting')",2
"('right', 'side')",2
"('undisclosed', 'amount')",2
"('money', 'taken')",2
"('station', 'attendant')",2
"('garcia', 'also')",2
"('arrested', 'outside')",2
"('morning', 'hours')",2
"('county', 'sheriffs')",2
"('exited', 'vehicle')",2
"('officers', 'patrol')",2
"('victim', 'adult')",2
"('resulting', 'victims')",2
"('residence', 'victims')",2
"('victims', 'year')",2
"('engaged', 'fight')",2
"('night', 'houston')",2
"('codefendants', 'approached')",2
"('vehicle', 'parking')",2
"('money', 'shot')",2
"('pistol', 'killing')",2
"('shoqting', 'deaths')",2
"('authorities', 'said')",2
"('mother', 'arrived')",2
"('antonio', 'police')",2
"('officer', 'attempting')",2
"('attempting', 'arrest')",2
"('sprouse', 'shot')",2
"('death', 'robbed')",2
"('mexican', 'mafia')",2
"('beaten', 'survived')",2
"('newbury', 'codefendants')",2
"('robbed', 'murdered')",2
"('death', 'hammer')",2
"('body', 'set')",2
"('prior', 'death')",2
"('items', 'stolen')",2
"('residence', 'following')",2
"('following', 'murder')",2
"('food', 'convicted')",2
"('victims', 'stabbed')",2
"('home', 'three')",2
"('assailants', 'fled')",2
"('money', 'jewelry')",2
"('stolen', 'home')",2
"('hernandez', 'codefendants')",2
"('codefendants', 'shot')",2
"('killed', 'three')",2
"('shotgun', 'victims')",2
"('bodies', 'victims')",2
"('county', 'authorities')",2
"('residence', 'found')",2
"('titus', 'canada')",2
"('wounded', 'trottie')",2
"('kicked', 'door')",2
"('mother', 'family')",2
"('started', 'shooting')",2
"('grabbed', 'pistol')",2
"('bedroom', 'shot')",2
"('shot', 'six')",2
"('room', 'shot')",2
"('stabbed', 'three')",2
"('kerrville', 'texas')",2
"('hernandez', 'broke')",2
"('tied', 'victims')",2
"('victims', 'wife')",2
"('sells', 'entered')",2
"('del', 'rio')",2
"('residence', 'intent')",2
"('sells', 'slashed')",2
"('slashed', 'throat')",2
"('doyle', 'placed')",2
"('asian', 'female')",2
"('struck', 'head')",2
"('placed', 'body')",2
"('recording', 'studio')",2
"('victim', 'walked')",2
"('walked', 'behind')",2
"('scene', 'crime')",2
"('codefendants', 'kidnapped')",2
"('steeltoed', 'boots')",2
"('basso', 'named')",2
"('found', 'ditch')",2
"('abandoned', 'house')",2
"('picked', 'lineup')",2
"('lubbock', 'texas')",2
"('house', 'victims')",2
"('unable', 'get')",2
"('stabbing', 'times')",2
"('times', 'upper')",2
"('upper', 'chest')",2
"('apartment', 'stabbed')",2
"('times', 'face')",2
"('diaz', 'codefendant')",2
"('codefendant', 'went')",2
"('went', 'apartment')",2
"('codefendant', 'robbed')",2
"('victim', 'unknown')",2
"('unknown', 'amount')",2
"('garza', 'codefendants')",2
"('codefendants', 'killed')",2
"('killed', 'four')",2
"('texas', 'feldman')",2
"('minutes', 'later')",2
"('demanded', 'cash')",2
"('get', 'floor')",2
"('home', 'shot')",2
"('jewelry', 'home')",2
"('murders', 'three')",2
"('committed', 'offenses')",2
"('attempted', 'arrest')",2
"('williams', 'shot')",2
"('able', 'get')",2
"('outside', 'grocery')",2
"('codefendant', 'forced')",2
"('one', 'victims')",2
"('cherokee', 'county')",2
"('cobb', 'codefendant')",2
"('victims', 'male')",2
"('codefendant', 'fatally')",2
"('victim', 'sexually')",2
"('shot', 'two')",2
"('single', 'gunshot')",2
"('bathroom', 'window')",2
"('opened', 'door')",2
"('gasoline', 'ignited')",2
"('ignited', 'clothing')",2
"('williams', 'attempted')",2
"('survived', 'injuries')",2
"('turned', 'police')",2
"('september', 'stabbing')",2
"('yearold', 'cousin')",2
"('dirt', 'path')",2
"('houston', 'restaurant')",2
"('still', 'alive')",2
"('codefendants', 'abducted')",2
"('abducted', 'robbed')",2
"('asked', 'one')",2
"('burglary', 'progress')",2
"('transported', 'body')",2
"('approached', 'demanded')",2
"('october', 'robbery')",2
"('ice', 'pick')",2
"('cord', 'inside')",2
"('drive', 'dallas')",2
"('cigarettes', 'bowl')",2
"('taken', 'apartment')",2
"('found', 'pants')",2
"('pocket', 'also')",2
"('strangling', 'death')",2
"('body', 'placed')",2
"('placed', 'inside')",2
"('moved', 'body')",2
"('days', 'prior')",2
"('five', 'people')",2
"('yearold', 'jerry')",2
"('hearn', 'codefendants')",2
"('victim', 'car')",2
"('car', 'took')",2
"('took', 'deserted')",2
"('texas', 'adams')",2
"('entered', 'convenience')",2
"('store', 'robbed')",2
"('white', 'females')",2
"('inside', 'victims')",2
"('wife', 'year')",2
"('store', 'rivas')",2
"('store', 'parking')",2
